2022-05-24 22:02:43,353 [trainer.py] => config: exps/podnet.json
2022-05-24 22:02:43,354 [trainer.py] => prefix: reproduce
2022-05-24 22:02:43,354 [trainer.py] => dataset: cifar100
2022-05-24 22:02:43,354 [trainer.py] => memory_size: 2000
2022-05-24 22:02:43,354 [trainer.py] => memory_per_class: 20
2022-05-24 22:02:43,354 [trainer.py] => fixed_memory: False
2022-05-24 22:02:43,354 [trainer.py] => shuffle: True
2022-05-24 22:02:43,354 [trainer.py] => init_cls: 10
2022-05-24 22:02:43,354 [trainer.py] => increment: 10
2022-05-24 22:02:43,354 [trainer.py] => model_name: podnet
2022-05-24 22:02:43,354 [trainer.py] => convnet_type: cosine_resnet32
2022-05-24 22:02:43,354 [trainer.py] => device: [device(type='cuda', index=1)]
2022-05-24 22:02:43,354 [trainer.py] => seed: 1993
2022-05-24 22:02:45,457 [data_manager.py] => class order: [68, 56, 78, 8, 23, 84, 90, 65, 74, 76, 40, 89, 3, 92, 55, 9, 26, 80, 43, 38, 58, 70, 77, 1, 85, 19, 17, 50, 28, 53, 13, 81, 45, 82, 6, 59, 83, 16, 15, 44, 91, 41, 72, 60, 79, 52, 20, 10, 31, 54, 37, 95, 14, 71, 96, 98, 97, 2, 64, 66, 42, 22, 35, 86, 24, 34, 87, 21, 99, 0, 88, 27, 18, 94, 11, 12, 47, 25, 30, 46, 62, 69, 36, 61, 7, 63, 75, 5, 32, 4, 51, 48, 73, 93, 39, 67, 29, 49, 57, 33]
2022-05-24 22:02:45,894 [trainer.py] => All params: 466256
2022-05-24 22:02:45,895 [trainer.py] => Trainable params: 466256
2022-05-24 22:02:45,896 [podnet.py] => Learning on 0-10
2022-05-24 22:02:45,908 [podnet.py] => Adaptive factor: 0
2022-05-24 22:02:51,404 [podnet.py] => Task 0, Epoch 1/160 (LR 0.09999) => LSC_loss 2.30, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 14.30, Test_acc 23.70
2022-05-24 22:02:53,681 [podnet.py] => Task 0, Epoch 2/160 (LR 0.09996) => LSC_loss 2.17, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 26.36, Test_acc 17.90
2022-05-24 22:02:55,982 [podnet.py] => Task 0, Epoch 3/160 (LR 0.09991) => LSC_loss 1.92, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 31.80, Test_acc 26.90
2022-05-24 22:02:58,284 [podnet.py] => Task 0, Epoch 4/160 (LR 0.09985) => LSC_loss 1.72, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 42.20, Test_acc 36.50
2022-05-24 22:03:00,541 [podnet.py] => Task 0, Epoch 5/160 (LR 0.09976) => LSC_loss 1.60, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 45.60, Test_acc 46.10
2022-05-24 22:03:02,863 [podnet.py] => Task 0, Epoch 6/160 (LR 0.09965) => LSC_loss 1.53, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 47.46, Test_acc 41.40
2022-05-24 22:03:05,132 [podnet.py] => Task 0, Epoch 7/160 (LR 0.09953) => LSC_loss 1.38, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 54.48, Test_acc 51.40
2022-05-24 22:03:07,507 [podnet.py] => Task 0, Epoch 8/160 (LR 0.09938) => LSC_loss 1.33, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 56.98, Test_acc 52.00
2022-05-24 22:03:09,768 [podnet.py] => Task 0, Epoch 9/160 (LR 0.09922) => LSC_loss 1.26, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 58.44, Test_acc 55.00
2022-05-24 22:03:12,134 [podnet.py] => Task 0, Epoch 10/160 (LR 0.09904) => LSC_loss 1.16, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 62.02, Test_acc 51.70
2022-05-24 22:03:14,380 [podnet.py] => Task 0, Epoch 11/160 (LR 0.09884) => LSC_loss 1.21, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 61.30, Test_acc 60.50
2022-05-24 22:03:16,671 [podnet.py] => Task 0, Epoch 12/160 (LR 0.09862) => LSC_loss 1.07, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 66.68, Test_acc 58.60
2022-05-24 22:03:19,079 [podnet.py] => Task 0, Epoch 13/160 (LR 0.09838) => LSC_loss 1.18, Spatial_loss 0.00, Flat_loss 0.00, Train_acc 64.28, Test_acc 58.30
